model,img_size,top1,top1_err,top5,top5_err,param_count,crop_pct,interpolation
cait_s24_224.fb_dist_in1k,224,83.484,16.516,96.586,3.414,46.92,1.0,bicubic
dm_nfnet_f1.dm_in1k,224,83.444,16.556,96.634,3.366,132.63,0.91,bicubic
efficientvit_b3.r224_in1k,224,83.444,16.556,96.338,3.662,48.65,0.95,bicubic
focalnet_small_srf.ms_in1k,224,83.43,16.57,96.434,3.566,49.89,0.9,bicubic
maxvit_tiny_tf_224.in1k,224,83.422,16.578,96.59,3.41,30.92,0.95,bicubic
sequencer2d_l.in1k,224,83.41,16.59,96.504,3.496,54.3,0.875,bicubic
gcvit_tiny.in1k,224,83.4,16.6,96.392,3.608,28.22,0.875,bicubic
deit_base_distilled_patch16_224.fb_in1k,224,83.388,16.612,96.49,3.51,87.34,0.9,bicubic
efficientformer_l7.snap_dist_in1k,224,83.386,16.614,96.538,3.462,82.23,0.95,bicubic
xcit_small_12_p8_224.fb_in1k,224,83.356,16.644,96.474,3.526,26.21,1.0,bicubic
coatnet_rmlp_1_rw_224.sw_in1k,224,83.354,16.646,96.452,3.548,41.69,0.95,bicubic
xcit_small_12_p16_224.fb_dist_in1k,224,83.354,16.646,96.424,3.576,26.25,1.0,bicubic
resnext101_32x16d.fb_swsl_ig1b_ft_in1k,224,83.346,16.654,96.844,3.156,194.03,0.875,bilinear
swin_small_patch4_window7_224.ms_in22k_ft_in1k,224,83.33,16.67,96.996,3.004,49.61,0.9,bicubic
vit_base_patch32_clip_224.laion2b_ft_in12k_in1k,224,83.306,16.694,96.53,3.47,88.22,0.9,bicubic
tiny_vit_21m_224.in1k,224,83.27,16.73,96.602,3.398,21.2,0.95,bicubic
resnext101_32x4d.fb_swsl_ig1b_ft_in1k,224,83.268,16.732,96.76,3.24,44.18,0.875,bilinear
tiny_vit_11m_224.dist_in22k_ft_in1k,224,83.232,16.768,96.628,3.372,11.0,0.95,bicubic
swin_small_patch4_window7_224.ms_in1k,224,83.228,16.772,96.326,3.674,49.61,0.9,bicubic
regnety_320.tv2_in1k,224,83.174,16.826,96.416,3.584,145.05,0.965,bicubic
twins_pcpvt_large.in1k,224,83.168,16.832,96.61,3.39,60.99,0.9,bicubic
regnety_080.ra3_in1k,224,83.162,16.838,96.478,3.522,39.18,0.95,bicubic
convnext_small.fb_in1k,224,83.144,16.856,96.432,3.568,50.22,0.875,bicubic
swinv2_cr_small_224.sw_in1k,224,83.126,16.874,96.11,3.89,49.7,0.9,bicubic
twins_svt_base.in1k,224,83.124,16.876,96.428,3.572,56.07,0.9,bicubic
nest_small_jx.goog_in1k,224,83.122,16.878,96.334,3.666,38.35,0.875,bicubic
regnetv_064.ra3_in1k,224,83.118,16.882,96.454,3.546,30.58,0.95,bicubic
pvt_v2_b3.in1k,224,83.118,16.882,96.562,3.438,45.24,0.9,bicubic
tresnet_m.miil_in21k_ft_in1k,224,83.09,16.91,96.112,3.888,31.39,0.875,bilinear
deit3_medium_patch16_224.fb_in1k,224,83.086,16.914,96.286,3.714,38.85,0.9,bicubic
deit3_small_patch16_224.fb_in22k_ft_in1k,224,83.082,16.918,96.78,3.22,22.06,1.0,bicubic
regnety_064.ra3_in1k,224,83.006,16.994,96.296,3.704,30.58,0.95,bicubic
regnety_160.deit_in1k,224,82.994,17.006,96.5,3.5,83.59,0.95,bicubic
resnext101_64x4d.tv_in1k,224,82.978,17.022,96.252,3.748,83.46,0.875,bilinear
convformer_s18.sail_in1k,224,82.968,17.032,96.244,3.756,26.77,1.0,bicubic
convnextv2_tiny.fcmae_ft_in1k,224,82.948,17.052,96.286,3.714,28.64,0.875,bicubic
resnetv2_152x2_bit.goog_teacher_in21k_ft_in1k,224,82.916,17.084,96.576,3.424,236.34,0.875,bicubic
hgnetv2_b3.ssld_stage2_ft_in1k,224,82.91,17.09,96.362,3.638,16.29,0.965,bicubic
xcit_large_24_p16_224.fb_in1k,224,82.89,17.11,95.882,4.118,189.1,1.0,bicubic
convnext_tiny.fb_in22k_ft_in1k,224,82.888,17.112,96.628,3.372,28.59,0.875,bicubic
hgnetv2_b4.ssld_stage1_in22k_in1k,224,82.886,17.114,96.632,3.368,19.8,0.965,bicubic
sequencer2d_m.in1k,224,82.838,17.162,96.276,3.724,38.31,0.875,bicubic
resnext101_32x8d.tv2_in1k,224,82.832,17.168,96.232,3.768,88.79,0.965,bilinear
regnetx_320.tv2_in1k,224,82.824,17.176,96.202,3.798,107.81,0.965,bicubic
hiera_tiny_224.mae_in1k_ft_in1k,224,82.824,17.176,96.192,3.808,27.91,0.9,bicubic
resnetv2_50x1_bit.goog_distilled_in1k,224,82.82,17.18,96.526,3.474,25.55,0.875,bicubic
rdnet_tiny.nv_in1k,224,82.82,17.18,96.278,3.722,23.86,0.9,bicubic
resnet152.a1h_in1k,224,82.818,17.182,96.124,3.876,60.19,0.95,bicubic
